"DATE","DCOILBRENTEU","DCOILWTICO","DEXUSAL","DEXCAUS","DEXDNUS","DEXUSEU","DEXNOUS","DEXSDUS","DEXUSUK","OVX","DEXNOEU","DEXBZUS","DEXMXUS","CHFEUR","DEXJPUS","DEXSZUS"
1977-03-01,NA,NA,1.1028,1.0571,5.8514,NA,5.2383,4.2017,1.72,NA,NA,NA,NA,NA,280.2265217,2.5439
1977-04-01,NA,NA,1.103,1.0476,5.963,NA,5.2798,4.3365,1.7192,NA,NA,NA,NA,NA,275.2071429,2.517
1977-05-01,NA,NA,1.103,1.0513,6.0168,NA,5.2632,4.3898,1.7191,NA,NA,NA,NA,NA,277.4261905,2.5047
1977-06-01,NA,NA,1.115,1.0599,6.0277,NA,5.3135,4.4033,1.7197,NA,NA,NA,NA,NA,272.8609091,2.4667
1977-07-01,NA,NA,1.1218,1.0689,6.0132,NA,5.291,4.3783,1.7365,NA,NA,NA,NA,NA,264.8631579,2.4096
1977-08-01,NA,NA,1.104,1.0748,6.19,NA,5.4645,4.8508,1.7428,NA,NA,NA,NA,NA,266.6773913,2.3946
1977-09-01,NA,NA,1.109,1.0737,6.1548,NA,5.5006,4.8263,1.7476,NA,NA,NA,NA,NA,266.77,2.3474
1977-10-01,NA,NA,1.1275,1.1083,6.0864,NA,5.457,4.7847,1.8395,NA,NA,NA,NA,NA,254.7445,2.2329
1977-11-01,NA,NA,1.126,1.1078,6.1463,NA,5.4025,4.8077,1.817,NA,NA,NA,NA,NA,244.7026316,2.1612
1977-12-01,NA,NA,1.138,1.0946,5.7637,NA,5.1282,4.6729,1.917,NA,NA,NA,NA,NA,241.0228571,1.9932
1978-01-01,NA,NA,1.138,1.1078,5.711,NA,5.1308,4.6468,1.9475,NA,NA,NA,NA,NA,241.0809524,1.9881
1978-02-01,NA,NA,1.1365,1.115,5.571,NA,5.2743,4.5872,1.941,NA,NA,NA,NA,NA,240.3722222,1.8205
1978-03-01,NA,NA,1.1416,1.1322,5.5556,NA,5.291,4.5683,1.862,NA,NA,NA,NA,NA,231.8573913,1.8315
1978-04-01,NA,NA,1.1322,1.1312,5.6529,NA,5.4025,4.6211,1.823,NA,NA,NA,NA,NA,221.857,1.9444
1978-05-01,NA,NA,1.1306,1.1231,5.6465,NA,5.4289,4.6296,1.8335,NA,NA,NA,NA,NA,226.1786364,1.8904
1978-06-01,NA,NA,1.1475,1.1247,5.6465,NA,5.4025,4.5735,1.861,NA,NA,NA,NA,NA,214.1063636,1.8512
1978-07-01,NA,NA,1.1574,1.1315,5.5432,NA,5.3447,4.5086,1.931,NA,NA,NA,NA,NA,199.6955,1.7361
1978-08-01,NA,NA,1.15,1.1513,5.5066,NA,5.237,4.4366,1.943,NA,NA,NA,NA,NA,188.7095652,1.6407
1978-09-01,NA,NA,1.155,1.1836,5.36,NA,5.141,4.4115,1.975,NA,NA,NA,NA,NA,189.9195,1.55
1978-10-01,NA,NA,1.181,1.1671,4.83,NA,4.74,4.15,2.076,NA,NA,NA,NA,NA,183.6309524,1.5
1978-11-01,NA,NA,1.1345,1.1718,5.3505,NA,5.118,4.4445,1.944,NA,NA,NA,NA,NA,192.1425,1.735
1978-12-01,NA,NA,1.15,1.1867,5.075,NA,5.005,4.286,2.0415,NA,NA,NA,NA,NA,195.955,1.62
1979-01-01,NA,NA,1.1336,1.2004,5.18,NA,5.144,4.4,1.9896,NA,NA,NA,NA,NA,197.755,1.7
1979-02-01,NA,NA,1.128,1.1937,5.182,NA,5.081,4.359,2.0234,NA,NA,NA,NA,NA,200.5072222,1.674
1979-03-01,NA,NA,1.1183,1.1606,5.192,NA,5.106,4.368,2.0625,NA,NA,NA,NA,NA,206.3236364,1.695
1979-04-01,NA,NA,1.1025,1.1422,5.3075,NA,5.169,4.399,2.068,NA,NA,NA,NA,NA,216.2852381,1.7215
1979-05-01,NA,NA,1.106,1.1608,5.488,NA,5.185,4.388,2.07,NA,NA,NA,NA,NA,218.4140909,1.725
1979-06-01,NA,NA,1.1195,1.168,5.285,NA,5.083,4.27,2.181,NA,NA,NA,NA,NA,218.5966667,1.654
